"id","name","type","parent_id"
"081003","Olhão","3","0810"
"080505","Faro (Sé)","3","0805"
"081001","Fuseta","3","0810"
"080506","Montenegro","3","0805"
"081004","Pechão","3","0810"
"080504","Faro (São Pedro)","3","0805"
"081005","Quelfes","3","0810"
"080501","Conceição","3","0805"
"080801","Almansil","3","0808"
"020511","Beja (Santa Maria da Feira)","3","0205"
"150908","São Bartolomeu da Serra","3","1509"
"020506","Nossa Senhora das Neves","3","0205"
"020503","Beringel","3","0205"
"020806","Canhestros","3","0208"
"150905","Santa Cruz","3","1509"
"021302","Brinches","3","0213"
"021008","Sobral da Adiça","3","0210"
"020514","São Brissos","3","0205"
"020805","Peroguarda","3","0208"
"020518","Trigaches","3","0205"
"020502","Baleizão","3","0205"
"150907","Santo André","3","1509"
"150910","São Francisco da Serra","3","1509"
"021005","Santo Aleixo da Restauração","3","0210"
"020802","Ferreira do Alentejo","3","0208"
"150504","Santa Margarida da Serra","3","1505"
"021003","Safara","3","0210"
"020516","São Matias","3","0205"
"021004","Moura (Santo Agostinho)","3","0210"
"020801","Alfundão","3","0208"
"021303","Pias","3","0213"
"131612","Junqueira","3","1316"
"030507","Carvalho","3","0305"
"130315","Pombeiro de Ribavizela","3","1303"
"031407","Vizela (São Paio)","3","0314"
"040822","Vale da Madre","3","0408"
"040812","Penas Roias","3","0408"
"031210","Castelões","3","0312"
"030710","Fareja","3","0307"
"171430","Vilarinho de Samardã","3","1714"
"131303","Amorim","3","1313"
"040814","Remondes","3","0408"
"040820","Travanca","3","0408"
"031206","Brufe","3","0312"
"030836","Pinheiro","3","0308"
"111011","Caxias","3","1110"
"111006","Algés","3","1110"
"110651","São Vicente de Fora","3","1106"
"150703","Santo Isidro de Pegões","3","1507"
"111007","Cruz Quebrada-Dafundo","3","1110"
"110653","Socorro","3","1106"
"110631","Santa Justa","3","1106"
"110640","São Francisco Xavier","3","1106"
"110616","Graça","3","1106"
"111008","Linda-a-Velha","3","1110"
"110645","São José","3","1106"
"110635","Santo Condestável","3","1106"
"110629","Santa Engrácia","3","1106"
"110630","Santa Isabel","3","1106"
"110906","Ericeira","3","1109"
"120704","Barbacena","3","1207"
"110915","Vila Franca do Rosário","3","1109"
"140904","Fajarda","3","1409"
"111202","Sapataria","3","1112"
"120705","Caia e São Pedro","3","1207"
"110201","Arranhó","3","1102"
"070413","Veiros","3","0704"
"110909","Mafra","3","1109"
"121501","Cano","3","1215"
"121503","Santo Amaro","3","1215"
"070702","Cabeção","3","0707"
"121502","Casa Branca","3","1215"
"111405","Castanheira do Ribatejo","3","1114"
"141505","Foros de Salvaterra","3","1415"
"111201","Santo Quintino","3","1112"
"140901","Coruche","3","1409"
"110115","Carregado","3","1101"
"120401","Nossa Senhora da Expectação","3","1204"
"120301","Alcôrrego","3","1203"
"111306","Freiria","3","1113"
"120307","Maranhão","3","1203"
"120706","Santa Eulália","3","1207"
"110110","Pereiro de Palhacana","3","1101"
"140906","Erra","3","1409"
"110106","Carnota","3","1101"
"110111","Alenquer (Santo Estêvão)","3","1101"
